,"k-means clusters 100, (Joules)"
0,2.2861127953855773e-20
1,2.214112385092612e-20
2,2.775617844541969e-20
3,1.3252482855072692e-20
4,2.8359458552215565e-20
5,3.083535272721479e-20
6,2.6359635162279804e-20
7,1.2593688576347617e-20
8,2.6204143825819804e-20
9,2.5990697912892914e-20
10,9.484885286692098e-21
11,2.4367776513937374e-20
12,2.5426101017970532e-20
13,3.052953599555601e-20
14,2.7522779316348086e-20
15,1.4777816092412497e-20
16,2.916109555718847e-20
17,2.4895000885956115e-20
18,1.4031659626364327e-20
19,2.6734822940634985e-20
20,2.910684507602834e-20
21,2.6964258625552326e-20
22,2.6453269988827047e-20
23,2.6654698939366943e-20
24,3.3015226506111864e-20
25,3.2133650754008896e-20
26,2.5734789750626535e-20
27,1.026552199988268e-20
28,2.9220883628060723e-20
29,1.7427267487413267e-20
30,2.562237692030287e-20
31,2.6723816365335306e-20
32,1.725914432869345e-20
33,2.80544168217552e-20
34,2.5459557214912373e-20
35,3.0349234445580214e-20
36,2.5880051473187322e-20
37,2.4629418184115157e-20
38,2.724704624973602e-20
39,3.003364056243026e-20
40,2.645937438997818e-20
41,2.792999335655719e-20
42,2.7798449331563345e-20
43,2.6700893293250542e-20
44,2.6915416218862043e-20
45,1.2946329749188285e-20
46,2.479455419860621e-20
47,2.9630050879984145e-20
48,1.6429729158632492e-20
49,2.4305462396120702e-20
50,1.8951312375551045e-20
51,2.506815480172244e-20
52,2.943635212073494e-20
53,2.8525832572717024e-20
54,3.09918045555958e-20
55,2.887777308909872e-20
56,2.713407843876139e-20
57,1.0614585005065956e-20
58,2.7576675262986767e-20
59,2.6096733363349065e-20
60,3.036655614502043e-20
61,1.7298795987992793e-20
62,2.801876901722635e-20
63,3.2568860177460136e-20
64,2.8846366755114426e-20
65,2.804392634617986e-20
66,1.3291134771265063e-20
67,3.041355608697813e-20
68,2.980341868656697e-20
69,2.80851440314891e-20
70,2.6521100636197018e-20
71,2.3383479474641597e-20
72,3.208998779457866e-20
73,1.868348528570936e-20
74,2.4147325568108217e-20
75,1.1833446478527314e-20
76,2.6728878879643662e-20
77,2.922871267791431e-20
78,2.1694600463817032e-20
79,2.736447988640129e-20
80,1.0213952422276552e-20
81,3.179818540347494e-20
82,2.7686740877302806e-20
83,2.4928956611147476e-20
84,3.191151086037383e-20
85,1.461095388142291e-20
86,2.799009072761709e-20
87,9.940259070202602e-21
88,1.8473328657840454e-20
89,2.4466685443784965e-20
90,2.9591404297485827e-20
91,2.7105940904468956e-20
92,2.773769880255559e-20
93,2.908618725585588e-20
94,1.5474194701144168e-20
95,2.482093880433175e-20
96,3.1326459851465235e-20
97,2.4974595326708764e-20
98,2.786586421890289e-20
99,2.968547635659109e-20
