,k-means clusters 75
0,0.007449368806031271
1,0.008732900153684595
2,0.003936546898164715
3,0.022433548031062542
4,0.000927110844634135
5,0.16296216614759326
6,0.016841565544342546
7,0.0011494892815791284
8,0.005379320387130432
9,0.0017633063476967558
10,0.002083755281764852
11,0.0015432394687473559
12,0.010074625479360852
13,0.0018559349262815478
14,0.0008544311070919884
15,0.010770305815856569
16,0.0010163758014316705
17,0.0007411168378079635
18,0.003068026663516963
19,0.0007816828746701962
20,0.002481470897594725
21,0.0009612731253536441
22,0.0028037275850090002
23,0.04466255627540838
24,0.0009807481410711635
25,0.0014234648522401384
26,0.0013745456586555802
27,0.0031656318964281937
28,0.001307733147626837
29,0.0030109962188011163
30,0.0020586459664556312
31,0.005406763713628274
32,0.0010497511907307513
33,0.0004324151573473019
34,0.004480043004856012
35,0.001101627419875201
36,0.0024086897592299097
37,0.0017793411393024097
38,0.0021030330732956146
39,0.004827262551365928
40,0.0382662857792345
41,0.05267936686415537
42,0.0015181290274032463
43,0.0010737480266291542
44,0.01261928598462446
45,0.0035517302116830915
46,0.018699678640266677
47,0.001992884665770175
48,0.002363748541560529
49,0.0027222492006821536
50,0.0037821583192993585
51,0.00803537364576098
52,0.02069016072217331
53,0.0008471477902323892
54,0.19869221830705427
55,0.03006427622557866
56,0.0011533779304085314
57,0.00743727446343563
58,0.01367170014347169
59,0.006439941562801203
60,0.0033450036689561436
61,0.0037710576452379702
62,0.0035115201499025745
63,0.000978117207286994
64,0.18323331385372496
65,0.006915346444513926
66,0.0011283328796258868
67,0.0014137326433871905
68,0.0014362104179027981
69,0.0031098357581784896
70,0.0008890218579981156
71,0.0067336544445255365
72,0.001260390321288473
73,0.0030199390286295585
74,0.0007692501538909486
