,"k-means clusters 75, (Joules)"
0,2.2043000209060938e-20
1,1.0036976894601281e-20
2,2.7025171434465442e-20
3,2.505099406847767e-20
4,2.570265584356795e-20
5,2.7953077876791364e-20
6,2.4313040341742983e-20
7,2.400109687526647e-20
8,2.477909500896174e-20
9,2.3594582883024444e-20
10,2.784226950300769e-20
11,2.3438089981345266e-20
12,2.207402222360448e-20
13,2.8900150238093104e-20
14,2.6361981777307227e-20
15,2.2880328039073332e-20
16,2.783642773823791e-20
17,2.3549140463796694e-20
18,2.507133114532123e-20
19,2.2298968647759247e-20
20,2.5684711072439508e-20
21,2.6702570287052274e-20
22,8.488602829164058e-21
23,2.3209719921839463e-20
24,2.2555052988790888e-20
25,2.3863804395318912e-20
26,2.513977644829236e-20
27,2.5492530838507647e-20
28,2.277686623787702e-20
29,2.7272780287232637e-20
30,1.9930086888799972e-20
31,2.741771180755354e-20
32,2.4130057569134468e-20
33,2.3574820361677454e-20
34,2.6045115114657024e-20
35,2.4650175315951144e-20
36,2.5124406858303e-20
37,2.8795449577128163e-20
38,2.4891161308814243e-20
39,8.152095222015872e-21
40,2.4575919024112903e-20
41,2.3164302932545972e-20
42,2.888599215884472e-20
43,8.268703048132654e-21
44,2.753834417588173e-20
45,2.2832231932450022e-20
46,9.624591095634512e-21
47,2.7461935094087906e-20
48,2.784770102169304e-20
49,1.2933275324810863e-20
50,2.781401449593551e-20
51,2.393126997772056e-20
52,2.9731954980979964e-20
53,2.4191229832905696e-20
54,2.9106198578093194e-20
55,3.043575519202876e-20
56,2.9408762630639114e-20
57,3.0589664215083354e-20
58,2.4785349905750182e-20
59,2.6907537881359418e-20
60,2.3358785169071907e-20
61,2.4882656123519346e-20
62,2.3031299410794615e-20
63,2.5014595347988823e-20
64,2.847435582073255e-20
65,2.3473764629445254e-20
66,2.2814682372820932e-20
67,2.9653500794943086e-20
68,2.367521854543724e-20
69,2.424435394536384e-20
70,2.866354441048898e-20
71,2.2505484793863644e-20
72,2.9262109096523675e-20
73,2.3698886293527957e-20
74,6.7301128094836986e-21
