,"k-means clusters 100, (Joules)"
0,2.672568921975819e-20
1,1.311904557603902e-20
2,2.1542699698881775e-20
3,2.5634071244851477e-20
4,3.0197609719746115e-20
5,2.0995633384239054e-20
6,2.605383656004344e-20
7,2.596761254165039e-20
8,2.512702570841127e-20
9,2.4689398382851983e-20
10,2.9139931093706955e-20
11,2.353684841276402e-20
12,2.899206001158294e-20
13,2.5878133857182433e-20
14,9.825725097975494e-21
15,2.1857753298641167e-20
16,2.929380410022038e-20
17,8.574834999889073e-21
18,3.24568006877163e-20
19,2.883910603434585e-20
20,1.6190792740454454e-20
21,2.697775260279352e-20
22,2.4182989732129835e-20
23,2.5857845610150303e-20
24,2.3422226650662848e-20
25,2.9354329373757435e-20
26,2.4582055940638047e-20
27,2.771547794072854e-20
28,2.7306266470507027e-20
29,2.2148563191649644e-20
30,2.0221332519875424e-20
31,1.1597668853609172e-20
32,2.1299633846339876e-20
33,2.2714909008104506e-20
34,2.012975475572843e-20
35,9.371400179046732e-21
36,2.872577223134113e-20
37,3.121280901516573e-20
38,1.144956206145016e-20
39,2.906589884580473e-20
40,2.4609979879106714e-20
41,2.0684870502063936e-20
42,2.1447360319235063e-20
43,2.941782988576737e-20
44,2.5045591536853707e-20
45,2.943275503769917e-20
46,2.7258987258550946e-20
47,2.684854694930598e-20
48,2.833942044762202e-20
49,2.960949129239302e-20
50,2.5395317155672672e-20
51,2.991921342664736e-20
52,2.829404115835396e-20
53,1.2284841954469444e-20
54,9.359686843608368e-21
55,2.436654404055193e-20
56,2.869582135196229e-20
57,2.240984149572818e-20
58,2.7786475115755776e-20
59,2.8500678917581387e-20
60,2.0471329630507658e-20
61,2.0577642922783146e-20
62,2.7080721797222397e-20
63,2.0837110428767246e-20
64,2.6184130413616572e-20
65,2.75237520097855e-20
66,2.3915270380216015e-20
67,2.1725669904136842e-20
68,2.0565406991491263e-20
69,2.6142235704882186e-20
70,2.942625470753576e-20
71,2.426353962828527e-20
72,2.4927653971711245e-20
73,2.4485996974849845e-20
74,2.6032232352478297e-20
75,2.798034977610483e-20
76,3.2207908045978064e-20
77,3.308033666333769e-20
78,2.2413984233414927e-20
79,2.8398008604745566e-20
80,2.7950183563842326e-20
81,2.071753060249171e-20
82,1.915346159884323e-20
83,2.0765354883821714e-20
84,2.6685964567228997e-20
85,2.834559921282142e-20
86,2.122558103365473e-20
87,3.0964495028207194e-20
88,2.1964890081963786e-20
89,2.2742232556280027e-20
90,2.3294975411275725e-20
91,2.7390409706001024e-20
92,1.0964903462167099e-20
93,2.492069026648556e-20
94,3.57471712786602e-20
95,1.6955641701438793e-20
96,2.947904587622879e-20
97,2.42306745102978e-20
98,2.109916243301023e-20
99,2.5278579998877918e-20
