,"k-means clusters 500, (Joules)"
0,1.897746456093078e-20
1,2.374152399263469e-20
2,2.819728833230818e-20
3,1.9296448842768105e-20
4,2.739558563178338e-20
5,2.7251711468658596e-20
6,2.768241930528652e-20
7,2.727014137729902e-20
8,2.9046198611239266e-20
9,2.8582202855230174e-20
10,3.3355942090394236e-20
11,3.2816513866920696e-20
12,2.7954717424797875e-20
13,2.0343636916994367e-20
14,2.790572540669372e-20
15,2.5814815986012315e-20
16,2.9864577326949214e-20
17,3.153468820121876e-20
18,2.740849319640507e-20
19,2.4973033613978617e-20
20,3.387353280634018e-20
21,2.40637771413224e-20
22,3.0583832950765826e-20
23,1.9032518944788783e-20
24,2.983613138528245e-20
25,2.7010451360649204e-20
26,2.610270970360938e-20
27,2.879062931608782e-20
28,2.764463553688497e-20
29,3.1321011211438273e-20
30,2.820311394976911e-20
31,3.110233522618049e-20
32,2.968620799561496e-20
33,2.3729133878552185e-20
34,3.191358952066227e-20
35,2.7182084830185526e-20
36,2.75297032530842e-20
37,2.6958098074009015e-20
38,3.2072236725993416e-20
39,2.8881718571534185e-20
40,1.888247654504447e-20
41,3.408382169589268e-20
42,2.931213681716156e-20
43,2.805589381277567e-20
44,2.7984553080124046e-20
45,2.8534281235559753e-20
46,2.6159910814449477e-20
47,2.6543393764136035e-20
48,2.979328531710366e-20
49,3.047350010762322e-20
50,3.087625562918032e-20
51,3.0381103224126144e-20
52,2.244002886126526e-20
53,3.062844262738062e-20
54,2.8579286650028234e-20
55,2.75399923005973e-20
56,1.9747177050747986e-20
57,2.8580303902978747e-20
58,2.9748267901831087e-20
59,2.787685831196499e-20
60,2.640085912708336e-20
61,3.1563239699718374e-20
62,3.326229945213602e-20
63,2.660824697656791e-20
64,3.0838147088830046e-20
65,1.9652010028643558e-20
66,2.586918134106342e-20
67,2.8613375057036685e-20
68,2.945780028758999e-20
69,3.34937319000948e-20
70,3.026584866681058e-20
71,2.3594849216336964e-20
72,1.8308961213086336e-20
73,2.798187147477135e-20
74,2.9350650814116144e-20
75,2.498198829300764e-20
76,3.0453604800614777e-20
77,2.100430958717467e-20
78,2.836941503701263e-20
79,3.392644043834665e-20
80,2.822963024653836e-20
81,2.8746004173113255e-20
82,2.6855408794237078e-20
83,3.040696921491263e-20
84,2.916453191750431e-20
85,2.919404041256198e-20
86,2.805407925883988e-20
87,3.008801412116565e-20
88,2.418895951135277e-20
89,3.026384553940192e-20
90,3.065581560624751e-20
91,3.0232796085173405e-20
92,2.793838007257049e-20
93,1.953217308476289e-20
94,2.027890523110082e-20
95,2.8171768339284305e-20
96,2.3920431113670095e-20
97,3.2899474849570173e-20
98,3.166446891037171e-20
99,2.960852143149965e-20
100,2.899214997093294e-20
101,3.22648863530533e-20
102,3.212643472970257e-20
103,2.1523131868985597e-20
104,2.907534292355793e-20
105,2.760826184775621e-20
