,"k-means clusters 75, (Joules)"
0,1.0103047692502923e-20
1,1.2480749637888717e-20
2,1.3747972160962083e-20
3,2.5374202298361718e-20
4,3.145317828427179e-20
5,2.3990113786068247e-20
6,2.8497029930991266e-20
7,2.3028209477472148e-20
8,3.002875561528184e-20
9,2.715972170846181e-20
10,2.5540125327532653e-20
11,1.0071293845724063e-20
12,2.501254829313665e-20
13,2.5539761801036605e-20
14,2.5226149893462428e-20
15,3.0702124008380374e-20
16,2.5201838703664586e-20
17,2.503877849428219e-20
18,2.577406877715904e-20
19,2.962645186754015e-20
20,1.0770379367813866e-20
21,2.748805438494329e-20
22,2.621930971938646e-20
23,1.2896744568957767e-20
24,2.446266513009519e-20
25,3.0463640344862774e-20
26,1.8414802415583717e-20
27,2.1575134084715818e-20
28,2.4832710005822864e-20
29,2.5703606489354407e-20
30,2.475565274421365e-20
31,2.7490289572785306e-20
32,1.8534134328083666e-20
33,2.9799433725790736e-20
34,2.6158102900578863e-20
35,2.245615876768952e-20
36,2.596981363483305e-20
37,2.5789845460628097e-20
38,2.731455138743522e-20
39,2.667397303015264e-20
40,2.890107840515626e-20
41,2.512767875391981e-20
42,2.0442244926496022e-20
43,1.0773376433031518e-20
44,2.784472000856184e-20
45,1.470921699595443e-20
46,2.4846341480908644e-20
47,2.772718119626573e-20
48,2.9185424694741637e-20
49,2.3444306130738073e-20
50,1.0313434999991166e-20
51,2.3340229493521935e-20
52,1.0844894224298477e-20
53,1.7353605474947617e-20
54,1.7924149209747228e-20
55,2.4365483792191272e-20
56,2.671414145595007e-20
57,2.5389028127277693e-20
58,1.2180205079622409e-20
59,1.4385093082483175e-20
60,2.9596514555953127e-20
61,2.9575320333899544e-20
62,1.771943649124219e-20
63,2.2146952754459073e-20
64,2.6458545980452345e-20
65,2.821851853621083e-20
66,2.7015577559497694e-20
67,2.924627869736801e-20
68,2.2727617120615255e-20
69,1.472206389875111e-20
70,2.7455350104762526e-20
71,2.5417994998073844e-20
72,2.79194301821129e-20
73,2.4218221777900404e-20
74,1.1061890185134547e-20
