,FF,nstates,BS,BS std,BS sem
0,CHARMM27,500,4.5035724994345845,0.0891501810109287,0.0398691729893695
1,AMBER99SB,500,7.769300585120826,0.13234603956817612,0.05918694820546374
2,AMBER99,500,11.711201889942078,0.15650539729390137,0.06999134143895501
3,CHARMM36,500,11.014371254806155,0.1674984539824644,0.07490758584618215
4,AMBER14SB,500,11.199053831370142,0.0704739622015679,0.03151691402529131
5,CHARMM22star,500,11.103497600511966,0.04578294811983698,0.020474756841260332
6,AMBER99SB-ildn,500,12.12718770010309,0.1667480507765495,0.07457199533039024
7,OPLS-aa,500,12.036005672090642,0.09435336580901603,0.042196107970972854
8,AMBER99SBnmr1-ildn,500,12.25588248943531,0.038652875408689794,0.01728609138793207
