,k-means clusters 50
0,0.00716024011335686
1,0.014170027815865545
2,0.003365387796412231
3,0.0016712492407648576
4,0.00233589162586596
5,0.02300411847381178
6,0.02899338475967908
7,0.022656308059992
8,0.004879071293345404
9,0.038263899719790835
10,0.007297726623717786
11,0.004711089735380107
12,0.0021289530269364304
13,0.0013358079733671079
14,0.003645502287104685
15,0.262477366449821
16,0.005482016894835365
17,0.00609602046245108
18,0.003918076317950021
19,0.007752718703644316
20,0.0005254800469765948
21,0.014185816683047645
22,0.008477827692665283
23,0.008912309423574615
24,0.10673192111096241
25,0.0017433809386976002
26,0.0011889063683380875
27,0.001396899656204288
28,0.0032208838294297128
29,0.0026463900863558983
30,0.0029183600380862044
31,0.010869538770277068
32,0.0017453215002128822
33,0.0037222881945386437
34,0.0037142104228751875
35,0.0033339530880420335
36,0.0015989483854613772
37,0.02854996562844018
38,0.0016806658950357651
39,0.004761066169373403
40,0.0023438552599799336
41,0.0035261935996640224
42,0.005140406297550808
43,0.04550019480840447
44,0.0015924329858985028
45,0.1888083861657028
46,0.07754858098037028
47,0.002903404700366506
48,0.002237395039235518
49,0.007130158860139887
