,"k-means clusters 50, (Joules)"
0,2.0448336699593538e-20
1,1.762243272579986e-20
2,2.3574038004662374e-20
3,2.6471921279097632e-20
4,2.50857570576548e-20
5,1.561641954211769e-20
6,1.4658446609154548e-20
7,1.5679492232129756e-20
8,2.2036393597910764e-20
9,1.3509848348482094e-20
10,2.0369596539055448e-20
11,2.2181441169963423e-20
12,2.5469797320962004e-20
13,2.739942643937046e-20
14,2.3243041042349602e-20
15,5.537624354184986e-21
16,2.1554008304820105e-20
17,2.1114493090154833e-20
18,2.294451955070464e-20
19,2.011920642418377e-20
20,3.126196111917708e-20
21,1.7617822324096486e-20
22,1.974904626549502e-20
23,1.9542132568790628e-20
24,9.262980893749934e-21
25,2.6296985989015284e-20
26,2.7881746648239047e-20
27,2.72142901214847e-20
28,2.375573183022409e-20
29,2.4569073428806886e-20
30,2.416407648824949e-20
31,1.872021478217215e-20
32,2.629238030788167e-20
33,2.3156745112077384e-20
34,2.3165739126481196e-20
35,2.3612889781276664e-20
36,2.6655013777137684e-20
37,1.472225212370384e-20
38,2.644865991974708e-20
39,2.213775431372106e-20
40,2.5071666775483084e-20
41,2.3380800241425977e-20
42,2.1820379867590972e-20
43,1.2792760100138354e-20
44,2.6671917925233388e-20
45,6.901473597147546e-21
46,1.058536184688121e-20
47,2.4185346751523885e-20
48,2.526411409764338e-20
49,2.046576610411759e-20
