,"k-means clusters 100, (Joules)"
0,2.5550452682019602e-20
1,1.0565657547869993e-20
2,2.764607237546791e-20
3,2.4793012809996244e-20
4,3.0124844847172846e-20
5,2.927936681905324e-20
6,2.4751602065466374e-20
7,2.3871021953099427e-20
8,2.3765503899685988e-20
9,3.0668850599981085e-20
10,2.6772918684289362e-20
11,2.9936641460379924e-20
12,3.049418914247019e-20
13,2.375755859257432e-20
14,2.42045228826341e-20
15,2.4348099314410638e-20
16,2.3562686011723897e-20
17,3.269687865768896e-20
18,1.1685783462451357e-20
19,2.5577834340610516e-20
20,3.1054387116312703e-20
21,2.4249449154388996e-20
22,2.96984574357509e-20
23,2.542107840083971e-20
24,2.1679153034043786e-20
25,3.179308455551304e-20
26,2.885607674355793e-20
27,3.1496288955602653e-20
28,1.1298631533948142e-20
29,2.5283985354544498e-20
30,2.7367102375576674e-20
31,3.02281216348776e-20
32,2.649859308307315e-20
33,2.6634198666708793e-20
34,3.009827533094076e-20
35,2.6496714229447694e-20
36,2.4138753535837717e-20
37,3.01549628377574e-20
38,9.113389966011307e-21
39,2.90691127802999e-20
40,2.7455835966778475e-20
41,8.889936358011435e-21
42,2.6645540118122987e-20
43,2.433436106382525e-20
44,2.7855655301285933e-20
45,2.2666991622668373e-20
46,2.4657078587020665e-20
47,2.3506184379256194e-20
48,8.978146845153351e-21
49,2.505278622528878e-20
50,2.5124050279760066e-20
51,2.4736947735539886e-20
52,2.5476151879568185e-20
53,2.9314638602765205e-20
54,2.351159497749893e-20
55,2.5751676080080153e-20
56,3.155331750768193e-20
57,2.846155423252333e-20
58,2.667719167780209e-20
59,2.855632509705161e-20
60,2.383462988623582e-20
61,2.844987331827003e-20
62,2.4423783564849626e-20
63,2.8396761813223065e-20
64,1.0126294535341518e-20
65,2.940335364304735e-20
66,3.007658940968185e-20
67,3.096195784157758e-20
68,2.4626915214023382e-20
69,2.5868025273643473e-20
70,2.506314526336785e-20
71,2.832297874548855e-20
72,2.3332940030204992e-20
73,3.086818342618094e-20
74,1.1556476284068417e-20
75,2.682338670494437e-20
76,3.0428124507529255e-20
77,2.5748884212206133e-20
78,3.075928436100048e-20
79,2.5156244645193634e-20
80,2.3086750978697832e-20
81,3.1969696096015015e-20
82,2.3762299068464397e-20
83,2.9362576373545837e-20
84,2.4435692243077894e-20
85,2.440473396910643e-20
86,2.4031373610960817e-20
87,2.1174173233865472e-20
88,2.389472699680501e-20
89,2.4775951558710145e-20
90,2.3429115688852243e-20
91,2.482431591800022e-20
92,2.9340449441757705e-20
93,2.4160691878111542e-20
94,3.125789282664697e-20
95,2.640351621416006e-20
96,2.607189331726126e-20
97,2.890482947684592e-20
98,3.0329083512801414e-20
99,8.28159257554426e-21
