,"k-means clusters 75, (Joules)"
0,2.196052890350417e-20
1,1.871357207453845e-20
2,1.6496159244931018e-20
3,1.6249571599766986e-20
4,2.5589383686586236e-20
5,1.521733502791086e-20
6,2.39777324657457e-20
7,1.5033688611031295e-20
8,3.174118048319802e-20
9,1.4786448047487425e-20
10,2.3016869513734364e-20
11,1.9614501921251177e-20
12,2.4016180611297028e-20
13,2.0217022529028933e-20
14,1.589437871086478e-20
15,1.9280196176194775e-20
16,2.5585183032750985e-20
17,1.8824723391990118e-20
18,1.6115149834606187e-20
19,1.4836832739467855e-20
20,2.0879208929139153e-20
21,1.6777772486795552e-20
22,1.8556231343160556e-20
23,1.6413606443411162e-20
24,1.5473611371207415e-20
25,1.6463564784956452e-20
26,3.177450514412565e-20
27,1.716308834826316e-20
28,2.620252284900565e-20
29,1.4510666538003593e-20
30,2.6753811222205958e-20
31,2.4263821034094352e-20
32,2.5232037350167075e-20
33,2.8295866144931446e-20
34,1.6562343417399795e-20
35,1.8148651594339464e-20
36,2.892002032091441e-20
37,1.4812672308303e-20
38,1.4078329325375967e-20
39,1.5075546992944918e-20
40,1.7602589641092008e-20
41,1.9321767805391166e-20
42,1.9862962425019375e-20
43,1.464979560862881e-20
44,1.543767290929451e-20
45,2.232776739042239e-20
46,3.196421129531362e-20
47,1.8540491505426894e-20
48,1.9261036893027004e-20
49,1.8078538099172024e-20
50,2.1241036908954844e-20
51,1.719916983019604e-20
52,1.6229654871931943e-20
53,1.374144587570347e-20
54,1.4317092698991558e-20
55,1.8441308194718683e-20
56,3.252458187175732e-20
57,1.2909976529286444e-20
58,1.7541055246067567e-20
59,2.4000075498930252e-20
60,2.6430901941092904e-20
61,1.596132273047418e-20
62,2.034489655044559e-20
63,1.845827622746173e-20
64,2.309121898735758e-20
65,1.6306908980737467e-20
66,2.6886084519279158e-20
67,1.790608507302317e-20
68,1.9055094490679656e-20
69,2.1407542056812546e-20
70,3.228476211467424e-20
71,2.6822594315464293e-20
72,1.3032649660252478e-20
73,1.894697373959293e-20
74,1.6999706889748542e-20
