,k-means clusters 500
0,0.000458612986271924
1,0.03534243656630981
2,0.0001385440644050219
3,0.004321366817253831
4,0.000369019659642517
5,0.0035671528814294967
6,0.004136395740323019
7,0.00021143031750518097
8,0.001966090687127164
9,0.0003523376503487401
10,0.00012799480455469384
11,0.00014833177981326032
12,0.0032702815034775703
13,0.00042001583226443183
14,0.00020316147235670422
15,0.004174411773782557
16,0.0003129254756247742
17,0.00010399154687341254
18,0.0001263404447422404
19,0.0005555487770912555
20,0.0013921456225943337
21,0.00014760971273989433
22,0.0005296762979838004
23,0.00015131207677411985
24,0.0006202368783710426
25,0.00011768838079466619
26,0.0008366020757382769
27,0.021861777955410368
28,0.0006569779946548989
29,0.000839699040218218
30,0.00039080023732044873
31,0.0006403068757647878
32,8.371031370295429e-05
33,0.000187158575831053
34,0.0017770021130056172
35,0.0005016199973968963
36,0.00020591434759493498
37,0.020889400153579357
38,0.0007274535733372185
39,0.00020527139890540847
40,0.0011266333052722107
41,0.0007028447438238746
42,0.0003399847729539091
43,0.00010921025971855033
44,0.0003674749089764679
45,0.004192021878645656
46,0.0023108984017417055
47,0.00013857841900002764
48,0.001883624731254638
49,0.003935192089439861
50,0.00017188212758702755
51,0.00020433088806242448
52,0.0005336340230823097
53,0.0001784031657183931
54,0.0006485445420530713
55,0.009452325474497786
56,0.00016281611769324055
57,0.009135030726916614
58,0.0003081540739523249
59,0.00047500688319577084
60,0.0001266045605083737
61,0.0001837091354574423
62,0.0009441659604822856
63,0.0001779170352249772
64,0.0001610867385312414
65,0.0010510016852941083
66,0.0002222909410546755
67,0.00015375338449133104
68,0.00010189111965969204
69,8.615160353647611e-05
70,0.0018069455389876485
71,0.0001268074293951706
72,0.00041336546161588485
73,0.0001120988748172994
74,9.406735792373681e-05
75,0.0019299838411499532
76,0.00232429012919972
77,0.00018818164397788048
78,0.0014845244635437276
79,0.0036319822996280678
80,0.0006560465996244252
81,0.0005386047783090004
82,0.00038696639521905814
83,0.008865669883548331
84,0.00013497820653293592
85,0.0005949187237304071
86,0.0004468125430118814
87,0.00026129912657992725
88,0.0004778271207247294
89,0.0005384807020943892
90,0.00046327768646723343
91,0.0009351537570889538
92,0.00010322733762759876
93,0.0004899419767223716
94,0.001273559462523196
95,0.00030171232339549575
96,0.00014927658991042004
97,0.00022377016499237
98,0.00019553206462356385
99,0.028153411310541054
100,0.00010402444862029082
101,0.00014913677325433582
102,0.005774187301440864
103,0.00021067438687790186
104,0.00045343265653079027
105,0.0006817106462888811
106,0.005245397259968637
107,0.0003680291968998495
108,0.01087518467866377
109,0.03460998112432006
110,0.00063502595368416
111,0.0017105910139804923
112,0.0007604327579996407
113,0.0005145750368095552
114,0.002420326231402174
115,0.00023225215801552212
116,0.002712811097463327
117,0.018625444594683054
118,0.0008525112524752261
119,0.0005923086856390044
120,0.0001516947687888692
121,0.00010000969012245998
122,0.0005949849674009572
123,0.00020434585016346416
124,0.00029076021663055615
125,0.0027758713869655196
126,0.00034829110081481855
127,0.000283053626378205
128,0.001526928761998714
129,0.00017646635057754645
130,0.0008689229258562705
131,0.0002735845927309293
132,0.00010311765308088638
133,7.867777512806998e-05
134,0.0002224176414903009
135,0.0001348736788619808
136,0.0002559260810850335
137,8.448492575927146e-05
138,6.462030187433665e-05
139,0.0010732429652426973
140,0.0004474778190161302
141,0.0002703394638422062
142,0.000402014491019265
143,0.000911375541818963
144,0.016501194227088407
145,0.002753103396865638
146,0.001430499237108191
147,0.02702815424984403
148,0.00013553351937578605
149,0.00042955290952845216
150,0.00010692325676652556
151,0.00031116946414690643
152,0.00020988634633604193
153,0.00037960221139743253
154,8.110409409647013e-05
155,0.00011232603985757763
156,0.00018497512719677154
157,0.0006402125191144384
158,0.0004127050067095166
159,0.00048025522646949714
160,0.004153128205133855
161,0.00039833082360967614
162,0.00018381149208585533
163,0.00023131642069119636
164,0.00017106651775719716
165,0.00040395737867203213
166,0.0017655783988966545
167,0.0008023083450957318
168,0.001014446543191891
169,0.0006963668759998099
170,0.0006571849124933377
171,0.0014613699919195833
172,0.0001820887591371018
173,0.0005059618590006272
174,0.00016363407040767056
175,0.00011294347757714708
176,0.000950982903918021
177,0.0004772439248095265
178,0.0011744434582396752
179,0.00033983821790953413
180,0.0003013042245991219
181,0.00036848089302150356
182,0.0013612881253124913
183,0.0009374192532203642
184,0.0039078654422628634
185,0.0006198121619606116
186,0.0004467179274316424
187,0.0004545793060039472
188,0.0003645299331363943
189,0.006960242686678096
190,0.00046279503666896425
191,0.00015403207677134969
192,0.00012710504586445356
193,9.934104950186632e-05
194,0.00022092695497988774
195,0.021938915720148163
196,0.0031199998703893366
197,0.0005788328555580501
198,0.00019411263566801362
199,0.0005286750771815017
200,0.00017791140521852524
201,0.0027117986285183143
202,0.001138882817574292
203,0.0006450762067093049
204,0.0004671549917802781
205,0.0003498141650537754
206,0.0001412691153961298
207,0.00010183139825716891
208,0.0002378204379571983
209,0.0001402567151683271
210,0.0005399564773889913
211,0.0065593642064147905
212,0.00017865901474809477
213,0.0004283993731382436
214,0.00021998043510960987
215,0.00016836990111900683
216,0.0003149566860690994
217,0.0004258096763460089
218,0.00021087922327564577
219,0.0003717383052572265
220,0.00010490923537085447
221,0.000511336868653837
222,0.0001235814998428069
223,0.0015806417172864807
224,8.852087581985713e-05
225,0.014878075874441154
226,0.0009029719479814408
227,0.00035884152923213467
228,0.023386576106230125
229,0.005773158463888883
230,0.00017764979897472272
231,0.0004589787290153544
232,0.009260913953453373
233,0.00040331328043219676
234,0.0006861952104715653
235,0.005381481366329755
236,0.0027588528095748945
237,0.00018220217744406152
238,0.004823983050159872
239,0.00010422519357065085
240,0.010980255460374804
241,0.00011266519640808967
242,0.0001297134245629238
243,0.002393357830389924
244,0.00016712565192432438
245,0.0005841779919836711
246,0.0011682549173858067
247,0.00020740863754516653
248,0.00014667438808879204
249,0.00013623700133619658
250,0.00021686336476911108
251,0.0001657150330619449
252,0.02371449578746611
253,0.00012194887756921377
254,0.0004978109776445909
255,0.00013633843815345607
256,0.0001303700950232308
257,0.00021712263935502805
258,0.00011657661904851299
259,0.000188634839045555
260,0.005224530995366964
261,0.00012224316731405865
262,0.0006260195246434703
263,0.0001965259089242171
264,0.0025522327672382974
265,0.000569652173537144
266,0.0004208354688863586
267,0.0001535353515408362
268,0.0004769757457946905
269,5.473930659665758e-05
270,0.0004362630151060461
271,0.0004840753810617895
272,0.0002872293483727532
273,0.0005430550765748883
274,0.0003113221559226766
275,0.00046114949703111543
276,8.408967193385998e-05
277,0.0027962568762571714
278,0.0003744462056090685
279,0.00019214608324424112
280,0.00013851481704063692
281,0.0001861711328956366
282,0.004653281355035406
283,0.0005968048104638136
284,0.0003622371957593168
285,0.000299834987929711
286,0.004100161561135673
287,0.0001278274031751137
288,0.00025339045975914903
289,0.025706809933270354
290,0.00014547729762022412
291,0.00014565847684323854
292,0.0006790636914431413
293,0.02019296040453363
294,0.0006452565431368859
295,0.00014239601921764542
296,0.023705343635163974
297,0.0003045897833101681
298,0.00048261393637310114
299,0.00015129558951761923
300,0.0008606464441059328
301,7.610908169423341e-05
302,0.00011924159492463568
303,0.006503676403400964
304,0.0005046937533672503
305,0.0007246770564048509
306,0.0001477175509449933
307,0.00013608434378769725
308,0.0004344078017790191
309,0.0003306667139735643
310,0.0003976910734194817
311,0.00018733225953681726
312,0.00041276724532162323
313,0.028725441212231927
314,0.0005553834769816808
315,0.0002087287841958144
316,0.00010159943491494352
317,0.0005837109444872316
318,0.00037040863217342295
319,0.0006481074820034069
320,0.00016723114829865108
321,0.00011802158005725078
322,0.00037907314691954815
323,0.0006219444421380259
324,0.0005020261031329489
325,0.0004566123171879681
326,0.00012891685060008329
327,0.0001665001940619224
328,0.0012223321899303482
329,0.00018618162490566457
330,0.0006824661868034932
331,0.026748811072764042
332,0.00010949282722062399
333,0.001248964826704134
334,0.0012481107795327341
335,0.002656534380562517
336,0.005038262180851211
337,0.005345072776490559
338,0.002476393137319878
339,0.00016287349665380395
340,0.00017065032929053698
341,0.018408710498670423
342,0.00045468444674663585
343,0.0006291233890948569
344,8.994931314959714e-05
345,0.0004973369250113296
346,0.00010778294743817481
347,0.00012260612173415914
348,0.0005024525379307003
349,0.0003256816069811557
350,0.021934892483150267
351,0.00015514742156027924
352,0.0002502040661675383
353,0.0003340387749201893
354,0.004579640744965803
355,0.00045806577958003563
