,k-means clusters 100
0,0.026955530387630773
1,0.032529229512455
2,0.0014560714223113365
3,0.014257365031925717
4,0.002678197473245863
5,0.042619989903078456
6,0.003977624389074038
7,0.004198907625986622
8,0.005125002917807756
9,0.0019492132320268168
10,0.00391005863465749
11,0.0016933850349900557
12,0.0024978785530916404
13,0.008618817483434044
14,0.0037880626634124496
15,0.0045726360156554315
16,0.0281076743656008
17,0.009927688970107481
18,0.00597073008100831
19,0.010983548445284715
20,0.002014285482629883
21,0.004952175927926763
22,0.0327262454666285
23,0.007140823234109865
24,0.0035884291256790446
25,0.04808966359274068
26,0.005618434418572005
27,0.0029934423102970726
28,0.005342252721333415
29,0.011102801453143444
30,0.05605015041138847
31,0.0019700684551898127
32,0.03064420716265622
33,0.004480225290288161
34,0.005975407999958252
35,0.004453874971750021
36,0.0022443079637471976
37,0.005686331644143868
38,0.00684265958931501
39,0.001972171744647558
40,0.003290986638200086
41,0.0031979139765662607
42,0.006680641652132345
43,0.013148627106472915
44,0.006009185729355177
45,0.007280483993283623
46,0.009045981811087258
47,0.004603127363213091
48,0.00155671979909521
49,0.006348653538906863
50,0.005677054670528399
51,0.003131146620413188
52,0.0032154859876265965
53,0.000508627709068474
54,0.0019955038631875146
55,0.006935504546223836
56,0.03599402918302339
57,0.005860238903689029
58,0.0013631900366962923
59,0.00827448251890206
60,0.00450165925688635
61,0.006496712828224767
62,0.02134037496178359
63,0.0025714351155629502
64,0.0017499389437596903
65,0.004076969245817021
66,0.005637718021994111
67,0.003784750330316759
68,0.001062532853655792
69,0.005320868396120945
70,0.017963869219353893
71,0.006045867934801456
72,0.03501759894989501
73,0.0057115788998872
74,0.006073666894793906
75,0.00343869872450886
76,0.00297658781835145
77,0.007780928556469421
78,0.03479944698208031
79,0.05232882977006798
80,0.0037806837105590204
81,0.0009137130214491181
82,0.0019064082127842612
83,0.004969572435420167
84,0.009201725816338501
85,0.006952213674640883
86,0.001920504609761124
87,0.007991862185121719
88,0.0038967679239480728
89,0.002508863610229631
90,0.02142980410364138
91,0.00191802215318169
92,0.0012482467347501819
93,0.017661137007249673
94,0.003081669863833053
95,0.012232704389990225
96,0.00633003832463766
97,0.0040862249569994236
98,0.062195586960639045
99,0.0032710598438923043
