,"k-means clusters 100, (Joules)"
0,1.4960166525053282e-20
1,1.41820511682831e-20
2,2.7042534965229496e-20
3,1.7596994078360972e-20
4,2.451961076277228e-20
5,1.3063488021360071e-20
6,2.2882071973753287e-20
7,2.2657933829010738e-20
8,2.183280412436607e-20
9,2.583496395851369e-20
10,2.2953000043347846e-20
11,2.6417446704573295e-20
12,2.4808177832528924e-20
13,1.9680762580578864e-20
14,2.3084228323300144e-20
15,2.2304934887191923e-20
16,1.4786890291652032e-20
17,1.909545009891927e-20
18,2.1200468319153805e-20
19,1.867701682736964e-20
20,2.569901168703147e-20
21,2.1974822820821736e-20
22,1.415705254467864e-20
23,2.0459578650981942e-20
24,2.3308368670605424e-20
25,1.2563608399013089e-20
26,2.145224722016539e-20
27,2.405891149688491e-20
28,2.166092652814339e-20
29,1.8632309372071933e-20
30,1.1929444966216106e-20
31,2.5790904130355812e-20
32,1.44291901649656e-20
33,2.2389459255648817e-20
34,2.1197226001793774e-20
35,2.2413880435594426e-20
36,2.5251342376644976e-20
37,2.1402516355794608e-20
38,2.0636156207469676e-20
39,2.5786486530848997e-20
40,2.3666590978208395e-20
41,2.3785362175238068e-20
42,2.0735360735000158e-20
43,1.793215302340327e-20
44,2.117388934589404e-20
45,2.037938985665256e-20
46,1.9480499321177188e-20
47,2.227742008796966e-20
48,2.6765821868495336e-20
49,2.0946381872868836e-20
50,2.1409276080094584e-20
51,2.3872713877727933e-20
52,2.3762675828452655e-20
53,3.1396908093146164e-20
54,2.5737795007764744e-20
55,2.0580360103439e-20
56,1.376302515067838e-20
57,2.1277798717781187e-20
58,2.7315420722204663e-20
59,1.9849556625939835e-20
60,2.2369700197359087e-20
61,2.085094004775895e-20
62,1.5927219474419538e-20
63,2.468802525834198e-20
64,2.6281441937073123e-20
65,2.2779941789831354e-20
66,2.1438062231699486e-20
67,2.3087849978793825e-20
68,2.8346992909341615e-20
69,2.1677531652307333e-20
70,1.6640286208290486e-20
71,2.1148694136732116e-20
72,1.3876884699254214e-20
73,2.1384175483697932e-20
74,2.1129702005792956e-20
75,2.3484821329652786e-20
76,2.4082287520300692e-20
77,2.0104169528195137e-20
78,1.3902756664300684e-20
79,1.221386038040528e-20
80,2.3092300696975374e-20
81,2.897169522922706e-20
82,2.5926892102114183e-20
83,2.1960304892692372e-20
84,1.940982788647927e-20
85,2.057039794494386e-20
86,2.589639266294054e-20
87,1.9993432335018206e-20
88,2.2967096320518282e-20
89,2.4790011045407387e-20
90,1.590990660854262e-20
91,2.590174751510461e-20
92,2.768010344321902e-20
93,1.6710649229104978e-20
94,2.3938654374474767e-20
95,1.8231078816359357e-20
96,2.0958538811972905e-20
97,2.2770553636183727e-20
98,1.1498730896091118e-20
99,2.369173471415707e-20
