,FF,nstates,BS,BS std,BS sem
0,AMBER99SBnmr1-ildn,500,155.9773100245876,0.22391635914647537,0.10013844006515514
1,AMBER99,500,155.37770646156073,0.14969558850303863,0.06694590236492606
2,AMBER99SB,500,161.6210209576152,0.1254706047114525,0.05611216026256263
3,AMBER99SB-ildn,500,162.9340472090102,0.023549254661496755,0.010531546848512109
4,AMBER14SB,500,165.28017394688314,0.06837346098934692,0.030577541325821946
5,OPLS-aa,500,178.3933055660649,0.08716190216729378,0.04358095108364689
6,CHARMM36,500,179.8114683825811,0.04885189924689965,0.02184723350920768
7,CHARMM22star,500,181.4225705587525,0.06446852120072069,0.028831199162739563
8,CHARMM27,500,182.41783340054403,0.057719012181713984,0.02581272696649018
