,"k-means clusters 500, (Joules)"
0,2.7582523465082885e-20
1,1.550760584926288e-20
2,3.211703124177122e-20
3,3.3622592790368016e-20
4,3.332075861751448e-20
5,2.982748369515204e-20
6,3.1610284885490954e-20
7,3.2815072802623583e-20
8,3.13726671031934e-20
9,3.3843484279286874e-20
10,3.549821912848479e-20
11,2.880210176902638e-20
12,3.2538685463298986e-20
13,3.5212629434064967e-20
14,3.079438307323603e-20
15,3.1671979625429987e-20
16,3.276793901944549e-20
17,3.1456512688285254e-20
18,2.947248700772705e-20
19,2.884644278238381e-20
20,1.5431211100702863e-20
21,3.528849593551228e-20
22,3.3704323496654027e-20
23,2.7708652438358155e-20
24,2.7725657282204734e-20
25,1.8001748753545202e-20
26,3.28993316181276e-20
27,1.681894057558689e-20
28,2.4397856724614515e-20
29,3.313576080464816e-20
30,3.880522339613753e-20
31,3.4420477219193534e-20
32,2.880202434229471e-20
33,3.466018145152553e-20
34,3.3537308212328455e-20
35,3.685000101138897e-20
36,2.861107733096526e-20
37,3.4601115375002396e-20
38,2.8675544496805846e-20
39,1.938377094704449e-20
40,3.149670131755268e-20
41,2.835348855180588e-20
42,3.344168224371995e-20
43,3.3431987972794393e-20
44,3.347296503714281e-20
45,3.43203030524689e-20
46,3.285269885370705e-20
47,2.974514214536666e-20
48,3.3814532367304507e-20
49,3.388534134292676e-20
50,3.4588389865375166e-20
51,2.901535952790054e-20
52,3.1368662220418317e-20
53,1.7316040343466125e-20
54,2.884224188235492e-20
55,2.95242615502269e-20
56,3.155804418846714e-20
57,3.680882214560788e-20
58,1.6644604201171633e-20
59,3.540217211584275e-20
60,2.991115146776475e-20
61,3.0780952797009814e-20
62,3.044907670556656e-20
63,2.9148206504145094e-20
64,2.897161411181056e-20
65,2.1371304548395413e-20
66,3.2267568168434413e-20
67,3.0339518008492687e-20
68,3.5516301598324675e-20
69,2.824299866483544e-20
70,3.3170008789197213e-20
71,3.127440048808865e-20
72,3.1355697649289506e-20
73,3.858255278740627e-20
74,2.757142957596455e-20
75,3.3466756608710484e-20
76,2.8233928651542273e-20
77,1.4545835160543075e-20
78,1.6179630071997726e-20
79,3.2952519924579046e-20
80,2.696924096374064e-20
81,3.54504197013782e-20
82,3.06407740327814e-20
83,2.8358610648481736e-20
84,3.4030743572388014e-20
85,2.91279940600759e-20
86,3.015016187167326e-20
87,2.0095552133300528e-20
88,3.036602935073588e-20
89,3.24491994570884e-20
90,3.517541826320021e-20
91,3.3546232446979016e-20
92,3.311925918824605e-20
93,3.6191216943457104e-20
94,3.457814882149219e-20
95,3.3687526806485e-20
96,3.1964393708894234e-20
97,3.8027350575991106e-20
98,3.423798374432091e-20
99,3.0718509921301976e-20
100,3.012417045644395e-20
101,3.225667527245422e-20
102,3.421397250409181e-20
103,3.1097347731325245e-20
104,3.1600774717454056e-20
105,3.352426789180004e-20
106,3.4776079262236994e-20
107,2.936477573730674e-20
108,3.291960446735142e-20
109,2.994878236908739e-20
110,2.834392290797052e-20
111,2.71650562714286e-20
112,2.911242507945799e-20
113,2.819437574214356e-20
114,3.394492327070869e-20
115,3.189067807323325e-20
116,3.331167397255815e-20
117,2.943191968038148e-20
118,2.6918169608352657e-20
119,3.650727713450981e-20
120,3.783197331312458e-20
121,2.918387450374174e-20
122,3.496339977671971e-20
123,1.7445507463104194e-20
124,3.261985046633145e-20
125,3.050803663604801e-20
126,2.913645229899344e-20
127,2.073039664950137e-20
128,3.2293850537467415e-20
129,3.267288544994975e-20
130,3.226039055312298e-20
131,2.9105528464827737e-20
132,2.474379403206313e-20
133,3.2447157747123253e-20
