,k-means clusters 75
0,0.03806418638121584
1,0.03508420590139081
2,0.058841828309113095
3,0.0001771213826803519
4,0.0016228359996088785
5,2.3417516712844884e-05
6,0.00018689575245128018
7,0.0003796116631529163
8,0.0018509868429025574
9,0.00014546728343594134
10,0.05519076231437541
11,0.00024242890098483228
12,3.113758790053963e-05
13,0.0002649562925415768
14,0.00234849515150525
15,0.026330822913485385
16,0.0008464653354966361
17,0.0011727079143733332
18,0.00040280349986796616
19,0.00016861780705980796
20,0.08810466591258066
21,0.002493974752599412
22,0.00047422077601899437
23,5.970626040666138e-05
24,6.936735154463268e-05
25,0.001611884342335414
26,0.003031744842722754
27,0.000107280886795014
28,0.0006024833549814421
29,0.0011406092985774842
30,0.014018535544897251
31,0.00015587285861121575
32,1.8267128361819525e-05
33,0.0008375372440932557
34,0.0017279569068237442
35,0.08513152350752053
36,5.166360777249006e-05
37,0.012812701530030658
38,0.1059335053047931
39,0.00011835954727476948
40,9.18088737689476e-05
41,0.04391747610345331
42,0.0029154049578543795
43,0.0001598223086937576
44,0.0017307370970410536
45,4.65161365083167e-05
46,6.657849858564941e-05
47,0.0005379702702531397
48,0.0001921203432111326
49,0.0005079253238216517
50,6.845031247339789e-05
51,8.79100838141702e-05
52,0.00014734947194948404
53,0.0014255962463518052
54,0.09098842642892721
55,0.0019115331302602295
56,0.002731004798679797
57,0.00013028420456916232
58,0.00015070939831459906
59,0.00013900027154831426
60,0.0005296705504002204
61,0.1366081982512336
62,0.04280689621901922
63,3.7632036356463496e-05
64,0.00013705144341273978
65,0.051319646646997855
66,0.0033992364321260705
67,0.0004200892588219986
68,0.04274246630518954
69,9.392775911328541e-05
70,0.0023993652237957928
71,0.003961480474458343
72,0.002507140774194303
73,5.5238103114709495e-05
74,0.023157720552689963
