,k-means clusters 100
0,0.0021570696928904978
1,0.07276117558041514
2,1.751576643164637e-05
3,0.0015187423884816737
4,0.00017065279125666181
5,8.339068796384929e-05
6,0.00028468820261194405
7,0.0010184469601073913
8,2.8022681384768765e-05
9,3.8828188334550126e-05
10,6.645384810450853e-05
11,0.000979027842479866
12,0.01884684086899474
13,0.00198021975523438
14,0.028828221026048945
15,9.765856750445912e-05
16,0.0008362439139902899
17,0.03148668929597684
18,0.0010134213201762215
19,5.2624452211939976e-05
20,4.4909228142077393e-05
21,0.0006377739233815286
22,0.002949505883369259
23,0.012979903269943308
24,6.374257291986816e-05
25,4.443513469921996e-05
26,0.00031513855458099063
27,0.00010561697658128506
28,0.003165633467722108
29,0.0019276165992188866
30,0.02841472611253158
31,0.00022893998581770072
32,0.00017016980363373008
33,0.00030934806841430697
34,4.91376533244467e-05
35,0.0015393098130280678
36,0.00031250675202417865
37,0.00018618483648594954
38,0.03671889369463011
39,0.001337986456802753
40,0.0007504179761972742
41,0.002516996827319718
42,0.05652065139350955
43,0.057866515928966945
44,0.05550348180206329
45,0.00014099158050088787
46,2.172468074228731e-05
47,0.00036593299610432074
48,0.00015108360476715567
49,0.003143844779126195
50,0.00041401170823877334
51,0.0007340189674863224
52,5.820003120083256e-05
53,0.0006345756654517489
54,0.061273815630844955
55,0.0028241289473332734
56,0.00018460697659220893
57,1.9269794969252466e-05
58,0.10195745446785479
59,0.0011589273076016786
60,0.0013876847680219099
61,0.013681912040105073
62,0.0005966278824246884
63,0.0015301932815806178
64,0.00019015029487143005
65,0.0019019786802780198
66,0.04921924754466588
67,0.0010018639342770244
68,6.769144799859895e-05
69,0.0002163352830386744
70,0.00013288139557491552
71,0.09297009467536511
72,0.0001875439913541715
73,0.0023278129847847787
74,0.003919166804855631
75,0.002735095535930911
76,0.0002173006020908453
77,0.049865682900500294
78,0.0007222944622927994
79,0.01687161513937077
80,0.011637870890002781
81,0.0045776137219752195
82,0.0019616324668539175
83,0.0004922078142728485
84,8.779885166592366e-05
85,0.0004603922149354191
86,0.02060827349092314
87,0.0025587074299173954
88,0.0002462107824923358
89,0.002141110047916733
90,0.06256958721284403
91,0.02790780851792706
92,6.090589864867558e-05
93,2.2940282742766145e-05
94,4.106949977164918e-05
95,0.002724016972681529
96,0.02144865598114481
97,4.9632301239740884e-05
98,0.00024214012715501965
99,0.0004101881607841012
