,"k-means clusters 100, (Joules)"
0,2.5415479052258696e-20
1,1.0849171261601019e-20
2,4.5342973854857907e-20
3,2.6868072823111357e-20
4,3.591814123817198e-20
5,3.8882771987164805e-20
6,3.3799440250357546e-20
7,2.852243229654321e-20
8,4.3397534790658575e-20
9,4.204734725660267e-20
10,3.9822671859888356e-20
11,2.8685854971154634e-20
12,1.6441637285281418e-20
13,2.5769626455180865e-20
14,1.468209796603563e-20
15,3.822889731398579e-20
16,2.9338483528551833e-20
17,1.4316908191778356e-20
18,2.854291215928434e-20
19,4.078864485570145e-20
20,4.144499044722636e-20
21,3.046016049446203e-20
22,2.4120126946065515e-20
23,1.79856215026863e-20
24,3.999512363947236e-20
25,4.148892752872351e-20
26,3.3378742382541517e-20
27,3.790456254724563e-20
28,2.3827364675922258e-20
29,2.588108978224623e-20
30,1.4741909656489964e-20
31,3.470168973000548e-20
32,3.5929875026526704e-20
33,3.3455520007285486e-20
34,4.1072463680194183e-20
35,2.681238350459123e-20
36,3.341346175773159e-20
37,3.5557510421200415e-20
38,1.3680480305157944e-20
39,2.739268027869523e-20
40,2.9786804048999796e-20
41,2.477661172858811e-20
42,1.1894837672364079e-20
43,1.179741177321404e-20
44,1.197002143360435e-20
45,3.670859498201259e-20
46,4.4451434950836246e-20
47,3.276006969199309e-20
48,3.642238360972037e-20
49,2.3855958333223227e-20
50,3.224901149760312e-20
51,2.9878279350065503e-20
52,4.037172612191922e-20
53,3.048097366693116e-20
54,1.156054708900964e-20
55,2.4299958938508282e-20
56,3.559274517644512e-20
57,4.49478629021207e-20
58,9.452446616304208e-21
59,2.798747820719705e-20
60,2.724169081797983e-20
61,1.776755771521967e-20
62,3.073625817893321e-20
63,2.683697546622569e-20
64,3.547026049964278e-20
65,2.593652256948009e-20
66,1.2467487959958968e-20
67,2.859039734985462e-20
68,3.97462799313473e-20
69,3.49361398262988e-20
70,3.6953861863402953e-20
71,9.83447643671089e-21
72,3.552739807480173e-20
73,2.5100099993291216e-20
74,2.294336745787107e-20
75,2.443257809918959e-20
76,3.4917707645685823e-20
77,1.2413468033175434e-20
78,2.9944941511182e-20
79,1.689998775724218e-20
80,1.8437451773887582e-20
81,2.230043059347587e-20
82,2.580867000115751e-20
83,3.153276351182341e-20
84,3.8669513244632027e-20
85,3.1809407613121945e-20
86,1.607173940430082e-20
87,2.4708567660903516e-20
88,3.440059535496931e-20
89,2.5446223803680336e-20
90,1.1473910417264904e-20
91,1.481643384204875e-20
92,4.018358739418643e-20
93,4.422603074103216e-20
94,4.18150135132614e-20
95,2.4449381312071987e-20
96,1.5906266236302635e-20
97,4.1030996424303055e-20
98,3.446961500083624e-20
99,3.228742353967116e-20
