,k-means clusters 500
0,0
1,2
2,1
3,2
4,2
5,1
6,0
7,2
8,2
9,1
10,1
11,0
12,0
13,2
14,0
15,1
16,2
17,2
18,0
19,0
20,1
21,2
22,2
23,2
24,0
25,2
26,1
27,2
28,2
29,2
30,2
31,0
32,2
33,2
34,2
35,0
36,2
37,2
38,2
39,1
40,2
41,1
42,2
43,2
44,2
45,0
46,1
47,2
48,2
49,2
50,2
51,2
52,2
53,0
54,1
55,1
56,0
57,2
58,2
59,2
60,1
61,2
62,2
63,1
64,2
65,0
66,0
67,0
68,2
69,1
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,1
78,2
79,2
80,0
81,0
82,2
83,0
84,1
85,2
86,2
87,2
88,2
89,2
90,2
91,0
92,2
93,2
94,2
95,2
96,1
97,2
98,2
99,0
100,2
101,0
102,2
103,2
104,0
105,2
106,0
107,0
108,0
109,2
110,2
111,0
112,2
113,1
114,1
115,0
116,2
117,1
118,1
119,2
120,2
121,0
122,2
123,2
124,0
125,2
126,2
127,2
128,1
129,2
130,2
131,2
132,0
133,1
134,1
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,0
143,2
144,0
145,0
146,1
147,2
148,2
149,2
150,1
151,2
152,1
153,1
154,2
155,2
156,1
157,2
158,0
159,0
160,2
161,2
162,2
163,1
164,2
165,0
166,2
167,2
168,0
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,1
177,2
178,0
179,1
180,2
181,0
182,1
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,1
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,0
200,2
201,1
202,2
203,1
204,2
205,1
206,2
207,2
208,2
209,1
210,2
211,0
212,2
213,1
214,2
215,2
216,0
217,2
218,2
219,2
220,2
221,2
222,2
223,0
224,2
225,2
226,2
227,2
228,0
229,1
230,1
231,2
232,2
233,2
234,0
235,1
236,2
237,2
238,2
239,0
240,2
241,2
242,2
243,2
244,2
245,0
246,2
247,2
248,0
249,2
250,2
251,1
252,1
253,2
254,2
255,0
256,2
257,0
258,2
259,2
260,2
261,2
262,2
263,1
264,2
265,2
266,1
267,0
268,2
269,2
270,2
271,2
272,0
273,1
274,2
275,2
276,2
277,0
278,2
279,2
280,0
281,1
282,2
283,0
284,2
285,2
286,2
287,2
288,2
289,2
290,1
291,2
292,0
293,2
294,0
295,2
296,1
297,2
298,0
299,2
300,2
301,2
302,2
303,1
304,0
305,2
306,2
307,0
308,2
309,2
310,1
311,2
312,2
313,1
314,0
315,0
316,0
317,1
318,0
319,2
320,2
321,2
322,0
323,2
324,2
325,1
326,2
327,2
328,0
329,2
330,1
331,1
332,1
333,2
334,1
335,2
336,1
337,2
338,0
339,0
340,2
341,1
342,2
343,2
344,0
345,2
346,2
347,1
348,2
349,2
350,2
351,0
352,2
353,2
354,0
355,2
356,1
357,2
358,2
359,0
360,2
361,1
362,1
363,0
364,2
365,2
366,1
367,2
368,1
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,1
378,0
379,2
380,2
381,1
382,1
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,0
391,2
392,2
393,1
394,2
395,0
396,1
397,2
398,2
399,0
400,2
401,1
402,0
403,2
404,2
405,2
406,0
407,0
408,2
409,0
410,2
411,2
412,0
413,1
414,0
415,2
416,2
417,2
418,0
419,0
420,2
421,2
422,2
423,0
424,2
425,2
426,2
427,2
428,2
429,2
430,1
431,2
432,2
433,2
434,1
435,1
436,2
437,2
438,2
439,0
440,0
441,2
442,1
443,2
444,2
445,2
446,1
447,2
448,2
449,2
450,2
451,2
452,0
453,2
454,0
455,2
456,1
457,0
458,2
459,2
460,2
461,0
462,2
463,2
464,2
465,0
466,0
467,2
468,2
469,0
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,1
482,2
483,2
484,0
485,1
486,1
487,1
488,0
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,0
497,2
498,2
499,2
