,"k-means clusters 500, (Joules)"
0,1.9601776791440275e-20
1,3.3532788812559505e-20
2,2.1847974258538666e-20
3,2.6281763222393924e-20
4,2.8189222851571127e-20
5,2.5545411630888247e-20
6,2.2099592770935754e-20
7,2.381639467926817e-20
8,2.945742664695515e-20
9,3.048747645103454e-20
10,2.567689939784604e-20
11,2.6760315302854695e-20
12,1.970380294052095e-20
13,3.141603952671553e-20
14,1.891064838809582e-20
15,2.5430165505546578e-20
16,2.7216150344161064e-20
17,2.957025623400014e-20
18,1.8587424904650416e-20
19,3.429564978366861e-20
20,2.980822781000497e-20
21,3.028237524168108e-20
22,2.9240456905011325e-20
23,2.954266033448334e-20
24,2.7281042717465995e-20
25,2.994048861746201e-20
26,3.382080377741855e-20
27,2.774209331430554e-20
28,2.9913192889400404e-20
29,2.9105749441717814e-20
30,3.3347007539201186e-20
31,2.488695292779376e-20
32,3.44242012837748e-20
33,3.0114082192231104e-20
34,2.82868789464324e-20
35,2.0346579860114056e-20
36,2.9686369032820837e-20
37,3.0225395633026455e-20
38,3.2075315714666e-20
39,2.984187347805543e-20
40,3.406464090340432e-20
41,2.3387917375459018e-20
42,2.829472012478474e-20
43,2.8029330458096587e-20
44,2.858192600301553e-20
45,1.86119710248853e-20
46,2.154814970994773e-20
47,2.713629029167145e-20
48,3.068042865892831e-20
49,3.5378265973309614e-20
50,2.882623789214822e-20
51,2.734089953073921e-20
52,3.041905349195697e-20
53,2.805403338200559e-20
54,2.3951163246083402e-20
55,3.1172407274071716e-20
56,1.8631832177537957e-20
57,3.178216323123124e-20
58,3.222912179151147e-20
59,3.0202217742420347e-20
60,2.1605604680488312e-20
61,2.8764208738971716e-20
62,3.169655017045286e-20
63,2.312411512234224e-20
64,2.876753685730361e-20
65,2.66208373961079e-20
66,2.711267394065833e-20
67,1.7976506614144863e-20
68,2.9360970715231784e-20
69,2.6364764354130506e-20
70,3.102429305344542e-20
71,2.98791584715545e-20
72,3.070973988542968e-20
73,2.965530798204913e-20
74,3.1490909301274923e-20
75,2.8579006065255293e-20
76,3.0847742162773565e-20
77,2.6946405429860552e-20
78,2.977663708467312e-20
79,3.002780064590019e-20
80,2.410060671440441e-20
81,2.6051993692173957e-20
82,2.85068869298242e-20
83,2.2803307597054272e-20
84,2.1056987759070672e-20
85,2.6881306207197865e-20
86,3.2442583733165046e-20
87,2.7263726704211965e-20
88,2.7730356454853585e-20
89,3.370508956344474e-20
90,2.372270148480685e-20
91,1.9876684952082682e-20
92,2.84813991119643e-20
93,3.0490815846698566e-20
94,3.310647714044319e-20
95,2.8348615439781226e-20
96,2.9004458438150036e-20
97,2.786659329055999e-20
98,2.879195375854364e-20
99,2.2685319425950418e-20
100,3.000332114734807e-20
101,3.374021680826171e-20
102,2.980391431013402e-20
103,2.6708388100787346e-20
104,3.5073012531432316e-20
105,3.168560186333132e-20
106,2.7404763351052345e-20
107,1.7811957721679983e-20
108,3.166818662298508e-20
109,2.8446716564640293e-20
110,2.750862796819224e-20
111,1.912738126202748e-20
112,2.846338035797407e-20
113,2.514714439045966e-20
114,2.9830392007920275e-20
115,2.0310197901887295e-20
116,2.84836998957389e-20
117,2.713888946349567e-20
118,2.940073739103116e-20
119,2.9027078880607664e-20
120,2.918606722296387e-20
121,2.7288008793707455e-20
122,3.458243529633935e-20
123,3.1660846364925044e-20
124,1.720202636698148e-20
125,2.9576109186195377e-20
126,2.9638939339874874e-20
127,2.909628956634299e-20
128,2.877509209516449e-20
129,2.994887352504e-20
130,2.7133153849834375e-20
131,2.8639829452085603e-20
132,1.762325061363133e-20
133,2.2540507784761447e-20
134,2.5862160763852422e-20
135,2.784792225985444e-20
136,2.9181171382333376e-20
137,3.098205029144572e-20
138,3.097578277603997e-20
139,3.183268813979223e-20
140,3.2080256302405645e-20
141,2.8848116012519535e-20
142,1.9196611709042e-20
143,2.814786857494944e-20
144,2.8089475481708744e-20
145,2.85742505545591e-20
146,2.931063215294061e-20
147,2.972700703414572e-20
148,2.9323864943258575e-20
149,2.757712264808998e-20
150,2.4122799480394576e-20
151,2.856509306835198e-20
152,3.007480790504497e-20
153,2.057816667571069e-20
154,2.6630778438476135e-20
155,3.0183194185327416e-20
156,3.027557621783456e-20
157,2.862426995222449e-20
158,2.6069268418145762e-20
159,2.040231611323511e-20
160,3.219772870454617e-20
161,2.9041782151855184e-20
162,3.3458307506082746e-20
163,3.1178723341130044e-20
164,2.945429191273145e-20
165,1.9202403677375583e-20
166,2.9808671848281315e-20
167,2.59151484038037e-20
168,2.480149638050901e-20
169,3.1260222179078e-20
170,3.000182275579723e-20
