,FF,nstates,BS,BS std,BS sem
0,AMBER14SB,5,195.39579994824885,0.17580821815772366,0.07862382536075659
1,CHARMM36,5,202.2931233630237,0.1229554693936025,0.054987357553898004
2,AMBER99SBnmr1-ildn,5,190.3991996503352,0.17374805066887902,0.07770249045073825
3,AMBER99SB-ildn,5,190.2264452253973,0.16684392108771715,0.07461486983694923
4,CHARMM22star,5,210.0639161516611,0.053313360704742595,0.023842459728954105
5,OPLS-aa,5,206.033921115832,0.3118954778683109,0.13948389807766487
6,AMBER99,5,230.19053494946078,0.09102333369877073,0.04070687233781974
7,AMBER99SB,5,184.4246063900922,0.3078400933098558,0.13767027496814316
8,CHARMM27,5,205.187714578,0.22490251958705162,0.10057946442152507
