,FF,nstates,BS,BS std,BS sem
0,AMBER14SB,100,184.30968836858605,0.16780873724503767,0.0685076301051862
1,CHARMM36,100,204.1920246000774,0.11100774366660279,0.04964417217347911
2,AMBER99SBnmr1-ildn,100,184.9898522668833,0.245826552641116,0.10993697647599317
3,AMBER99SB-ildn,100,190.14825351418622,0.16779618881039543,0.07504073690908675
4,CHARMM22star,100,202.293172098434,0.15162476537369132,0.06780865648960602
5,OPLS-aa,100,199.42807663112964,0.19775448550402722,0.08843849448850032
6,AMBER99,100,181.40662121300733,0.1358316220729063,0.06074574808981588
7,AMBER99SB,100,185.20175670832268,0.22886893579917286,0.10235329967699713
8,CHARMM27,100,203.15455089197425,0.07122627581305928,0.03185335890042993
