,FF,nstates,BS,BS std,BS sem
0,AMBER14SB,10,194.87337288893906,0.30326363396310874,0.135623620129025
1,CHARMM36,10,214.34324048747285,0.1473162153452945,0.06588181434001522
2,AMBER99SBnmr1-ildn,10,197.27675608314277,0.257708933103639,0.11525093856573654
3,AMBER99SB-ildn,10,194.32341741088726,0.17639355710182414,0.07888559689453391
4,CHARMM22star,10,206.06615229245182,0.1157775437765663,0.05177729163047199
5,OPLS-aa,10,203.4456057781918,0.19900307100587736,0.08899687890007184
6,AMBER99,10,204.26326750068506,0.14740615082747274,0.06592203471036318
7,AMBER99SB,10,192.6403662307438,0.181255424380196,0.08105989004093819
8,CHARMM27,10,211.63849692719162,0.16300951793713778,0.07290007261738227
