,FF,nstates,BS,BS std,BS sem
0,AMBER14SB,50,191.49546422056383,0.10840791849397528,0.04848149501035707
1,CHARMM36,50,212.11474724609698,0.30632246404221536,0.1369915705267257
2,AMBER99SBnmr1-ildn,50,185.02641218251537,0.2606807306792972,0.1165799668446447
3,AMBER99SB-ildn,50,185.66842173400704,0.23303501259305842,0.10421642585911962
4,CHARMM22star,50,205.7277407075165,0.1133506877735013,0.05069196863158063
5,OPLS-aa,50,198.0477285193407,0.3364785624448215,0.15047778771960574
6,AMBER99,50,183.2494101256912,0.10673166852502972,0.04773185323478823
7,AMBER99SB,50,184.17697413596477,0.13191843265932482,0.05899571658229573
8,CHARMM27,50,203.83360504009244,0.131041051537711,0.05860333981627503
