,"k-means clusters 50, (Joules)"
0,1.1235511999954396e-20
1,1.2042090605249534e-20
2,8.375573095489992e-21
3,3.365931014139244e-20
4,3.449929325758503e-20
5,4.067771938765375e-20
6,3.2287897653819026e-20
7,2.406449846581378e-20
8,3.6965695116124736e-20
9,2.4524162727502238e-20
10,2.840653426654703e-20
11,1.238085325919107e-20
12,2.4022829540722506e-20
13,2.4437090998168223e-20
14,3.581582204616142e-20
15,2.4017021328704407e-20
16,3.40044831773556e-20
17,3.4233975470162716e-20
18,2.856750868897874e-20
19,2.5636369556492315e-20
20,2.633043002285871e-20
21,2.958805248679198e-20
22,3.8493010193763674e-20
23,7.192894115599292e-21
24,3.81492861628006e-20
25,3.308186063833564e-20
26,1.2685997712965497e-20
27,1.17527468796919e-20
28,1.9695354537261842e-20
29,1.3529781148515203e-20
30,6.036815322346401e-21
31,3.609091085022307e-20
32,4.0309187774039194e-20
33,3.61785437648169e-20
34,3.465835015632646e-20
35,2.3745032993266362e-20
36,2.40129663598702e-20
37,3.4333817651316633e-20
38,2.569043098907836e-20
39,1.6924491003108918e-20
40,3.059532484227955e-20
41,3.376528690552539e-20
42,2.3581413954111084e-20
43,3.433184823946172e-20
44,2.7744029867986564e-20
45,2.3389759590106047e-20
46,1.9687622875211562e-20
47,1.1323307881746592e-20
48,4.2509714102501817e-20
49,2.27967970735575e-20
