,"k-means clusters 50, (Joules)"
0,1.285026459332124e-20
1,8.803516532051072e-21
2,2.4419149734094234e-20
3,8.939742817110232e-21
4,2.5603370155579864e-20
5,2.636019609386992e-20
6,2.379000410860821e-20
7,2.3011084707811462e-20
8,2.444536701755151e-20
9,3.0799840279816987e-20
10,1.4158790669524754e-20
11,7.865469502270248e-21
12,2.0049395550874927e-20
13,2.338201816466811e-20
14,2.4056073981670293e-20
15,2.360862655846211e-20
16,2.5850855666539362e-20
17,2.7020720822700487e-20
18,2.0484319217044423e-20
19,2.4546768397625312e-20
20,2.6912386237903228e-20
21,2.4292813036753116e-20
22,1.1294778938820167e-20
23,2.5457615477594898e-20
24,1.7849027140812194e-20
25,2.3424695011480673e-20
26,2.3497044500175434e-20
27,2.1321159104967427e-20
28,2.7814597715958163e-20
29,2.3730285409171562e-20
30,2.3691314584770613e-20
31,2.1323110905265726e-20
32,1.6246198346774083e-20
33,2.4456612635736518e-20
34,2.861423758271124e-20
35,1.4080284691296004e-20
36,2.923661968869852e-20
37,8.247923230729976e-21
38,9.606361903775119e-21
39,2.36031599037618e-20
40,2.0829104118991807e-20
41,2.2777771958939626e-20
42,2.127518155269401e-20
43,2.6612620722174444e-20
44,2.6948199187322355e-20
45,1.589880145536419e-20
46,2.268984615973388e-20
47,1.406148362664711e-20
48,2.350958951374753e-20
49,2.803510895322912e-20
