,"k-means clusters 50, (Joules)"
0,1.9163274482125172e-20
1,1.6719775522027315e-20
2,1.0600444350026345e-20
3,1.8421480884039036e-20
4,1.407185694305489e-20
5,1.5786424285898126e-20
6,2.39178605940177e-20
7,1.3413406701155446e-20
8,1.7916245516511393e-20
9,2.019005623892323e-20
10,2.2994097735046972e-20
11,1.9677117083913718e-20
12,1.561160274838043e-20
13,2.004365134396018e-20
14,1.83632233397841e-20
15,1.3612630325817502e-20
16,9.558938166710097e-21
17,1.668008910578004e-20
18,1.920978384345362e-20
19,1.4280165165129806e-20
20,2.1383002346473825e-20
21,2.1443507584355274e-20
22,1.5528758729984816e-20
23,2.3225577663224524e-20
24,1.336952121740205e-20
25,1.6456077116804874e-20
26,1.745959114879214e-20
27,2.1996961870222984e-20
28,1.8850625194565437e-20
29,9.405379838205475e-21
30,1.910123918234343e-20
31,2.3724016203819255e-20
32,1.8108887460349908e-20
33,1.9221103605016314e-20
34,1.930349742945526e-20
35,1.8851188482828452e-20
36,1.344339930804716e-20
37,2.2876739699465493e-20
38,1.9474404780754987e-20
39,2.5176520228434597e-20
40,2.023484919008577e-20
41,2.4766371916967594e-20
42,1.839710728501796e-20
43,1.289151697555393e-20
44,1.1203867636469071e-20
45,2.1983391411964404e-20
46,2.4458302374936518e-20
47,1.6843558221485993e-20
48,2.1900637558334382e-20
49,1.855236447264791e-20
