,"k-means clusters 50, (Joules)"
0,1.0449819824361059e-20
1,1.6608185304231234e-20
2,1.0806652567074136e-20
3,9.411271857603931e-21
4,2.170920062270228e-20
5,2.13497942884903e-20
6,1.743545605258955e-20
7,2.018477346948522e-20
8,2.3509400027437688e-20
9,1.849798480270045e-20
10,2.2285648952875827e-20
11,1.7374953066594316e-20
12,1.9726691638547055e-20
13,1.8874307708836996e-20
14,1.7872901815330773e-20
15,2.0969481308845248e-20
16,2.2956208577102133e-20
17,8.463713803478545e-21
18,1.6399260491564023e-20
19,1.603245415528635e-20
20,1.8950196706352404e-20
21,2.0381424606108562e-20
22,2.5705271041450854e-20
23,2.2719784998488305e-20
24,2.4342829988832748e-20
25,2.1036286382262637e-20
26,1.9460252738788195e-20
27,2.3949571969973672e-20
28,1.753418340777609e-20
29,1.8919686133240068e-20
30,1.228723196709243e-20
31,2.329793189252335e-20
32,1.1703551912928783e-20
33,2.0962721354481613e-20
34,1.7334305875672145e-20
35,1.67402572536395e-20
36,1.0514888145400092e-20
37,2.0766205176904755e-20
38,1.7519751514476582e-20
39,1.895447922372564e-20
40,2.3026311331057052e-20
41,1.5797301310539223e-20
42,2.046961971564396e-20
43,2.0742828547350435e-20
44,2.1577822295423383e-20
45,1.8822541836836276e-20
46,2.060201897632945e-20
47,2.1405084528621127e-20
48,2.003310015873511e-20
49,1.377157527004936e-20
