,"k-means clusters 75, (Joules)"
0,1.09395670180692e-20
1,2.076923910808759e-20
2,2.4815312011309927e-20
3,1.4719034784257598e-20
4,1.9271588965025974e-20
5,2.4948594633994753e-20
6,2.068548375456237e-20
7,1.479315056949868e-20
8,1.9110849835131303e-20
9,2.3770586641712087e-20
10,1.9867506355779835e-20
11,1.9734960452552966e-20
12,1.2079420243743423e-20
13,2.4832637223687117e-20
14,1.7071899286343267e-20
15,2.0831182740458666e-20
16,1.69154608318415e-20
17,2.1339273453247272e-20
18,2.277356274593164e-20
19,1.8950489822351122e-20
20,2.4235400409662107e-20
21,1.1189845719237865e-20
22,1.9877861256037954e-20
23,2.2368059167101363e-20
24,2.0003215412663817e-20
25,2.1145284984211403e-20
26,1.9907736226755042e-20
27,2.0517596684794726e-20
28,2.028263467851691e-20
29,2.4203315646953425e-20
30,2.5129223818846456e-20
31,2.5829685129671978e-20
32,1.5171560939341827e-20
33,2.0069041970538096e-20
34,2.1201929285308564e-20
35,1.993779456527462e-20
36,1.866533240412558e-20
37,1.9986353112814298e-20
38,1.985898311779224e-20
39,1.9956616777143676e-20
40,2.1318958413988348e-20
41,1.5035338442236808e-20
42,1.5393305978239688e-20
43,1.7346361332875224e-20
44,1.790124533263812e-20
45,2.1129213461504738e-20
46,1.9416538156588845e-20
47,1.9804499693972056e-20
48,2.4064820535798577e-20
49,2.2412126306438355e-20
50,1.0835033555601566e-20
51,2.2424685545096288e-20
52,2.04955864735347e-20
53,2.193329946826193e-20
54,2.0246520907760484e-20
55,1.2925051449822794e-20
56,1.3171022121589374e-20
57,2.1532323666025296e-20
58,1.5163705174901077e-20
59,1.748448039149166e-20
60,2.4859742669013872e-20
61,1.95333427400609e-20
62,2.2050590860734285e-20
63,2.141227173140803e-20
64,2.3657098837420287e-20
65,2.0174491190680586e-20
66,1.4430127367153425e-20
67,1.4164495551324035e-20
68,2.1635761884703443e-20
69,2.0738573611562197e-20
70,2.0885992576826835e-20
71,1.7007922894425897e-20
72,2.4009785487158972e-20
73,2.2555600497710558e-20
74,2.1126895915720957e-20
