,"k-means clusters 100, (Joules)"
0,1.8058127432848582e-20
1,1.4542444604690334e-20
2,1.7575572941930647e-20
3,2.6890166111849748e-20
4,2.8676412077491965e-20
5,1.801676472001188e-20
6,1.7097342898767566e-20
7,1.6985573291882446e-20
8,1.4581760689011586e-20
9,1.6709026674681675e-20
10,3.1787110838679476e-20
11,1.7723201063026514e-20
12,2.322456482077115e-20
13,2.405951061716584e-20
14,1.7178366523777432e-20
15,1.7817398955910417e-20
16,2.1686100760271754e-20
17,1.6321091361180656e-20
18,1.6462637441031478e-20
19,1.7926289441892297e-20
20,2.333219977675876e-20
21,2.4591647285999586e-20
22,2.0422277626666915e-20
23,2.4422086538411244e-20
24,1.6199629096598642e-20
25,1.986158344347713e-20
26,1.5427710777331316e-20
27,1.8186263357563784e-20
28,3.029255886244802e-20
29,1.7116890376139796e-20
30,2.8939467146383224e-20
31,1.960865087827093e-20
32,1.7917280507708514e-20
33,1.8037678670775215e-20
34,2.5839532347387824e-20
35,2.2444959391940086e-20
36,1.635484196088644e-20
37,2.375564455660453e-20
38,1.9869236362118065e-20
39,1.44810070130986e-20
40,2.0517393291739207e-20
41,1.805787513597044e-20
42,1.867692288648729e-20
43,2.241896563177694e-20
44,2.6883512227426835e-20
45,2.157478668788488e-20
46,1.8446562700564163e-20
47,1.893392161140406e-20
48,3.256727548792376e-20
49,1.8485501776169892e-20
50,1.779613676444936e-20
51,1.650076328037752e-20
52,2.0945465820800658e-20
53,2.6621979527845362e-20
54,2.2293483868951913e-20
55,1.946259529825672e-20
56,2.0421503983243195e-20
57,2.1034896983719278e-20
58,2.725628987575043e-20
59,2.411076458695608e-20
60,2.282619092229651e-20
61,1.5724189311783728e-20
62,1.7626652313475845e-20
63,1.900248968685701e-20
64,1.6128662786534417e-20
65,3.185423377514123e-20
66,1.7504599563476866e-20
67,1.4937024758836248e-20
68,2.4161957053951423e-20
69,1.832887631826553e-20
70,2.7043488552600995e-20
71,1.8802664239135522e-20
72,1.9044157927565194e-20
73,2.0369044805491417e-20
74,1.930343136420756e-20
75,2.038374233581092e-20
76,2.039239895736742e-20
77,2.5006830052233276e-20
78,1.621526717880767e-20
79,2.0714694609591252e-20
80,1.703124108726771e-20
81,2.9520987649391435e-20
82,1.9181383525448388e-20
83,1.95088575454823e-20
84,2.2581972396233258e-20
85,2.054478136433446e-20
86,2.0217043150442803e-20
87,1.9259828673213455e-20
88,2.6366326232100316e-20
89,1.7913464892563895e-20
90,3.2040635759141925e-20
91,1.7870255024294403e-20
92,1.6351675248665155e-20
93,2.210862467915196e-20
94,1.8685147609801732e-20
95,1.5799195906205072e-20
96,2.5390426170087325e-20
97,3.002890501718598e-20
98,1.571662314241644e-20
99,2.0485644769386092e-20
