,k-means clusters 500
0,0
1,1
2,2
3,1
4,0
5,1
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,1
14,2
15,2
16,0
17,2
18,1
19,2
20,2
21,0
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,1
33,0
34,2
35,0
36,2
37,2
38,2
39,2
40,1
41,1
42,1
43,2
44,2
45,2
46,2
47,1
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,1
61,1
62,2
63,2
64,2
65,0
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,0
76,1
77,0
78,2
79,0
80,1
81,2
82,2
83,2
84,1
85,2
86,2
87,2
88,1
89,1
90,2
91,2
92,1
93,0
94,1
95,1
96,2
97,2
98,2
99,0
100,1
101,2
102,0
103,1
104,2
105,2
106,2
107,2
108,0
109,1
110,2
111,2
112,1
113,2
114,2
115,2
116,2
117,2
118,2
119,1
120,2
121,2
122,1
123,2
124,2
125,0
126,1
127,0
128,0
129,2
130,2
131,2
132,2
133,2
134,2
135,1
136,2
137,2
138,2
139,2
140,2
141,0
142,2
143,1
144,2
145,2
146,2
147,2
148,2
149,2
150,1
151,2
152,2
153,1
154,1
155,2
156,2
157,2
158,1
159,2
160,0
161,2
162,0
163,2
164,2
165,2
166,2
167,1
168,2
169,1
170,0
171,0
172,2
173,2
174,2
175,2
176,2
177,1
178,2
179,2
180,1
181,1
182,2
183,2
184,2
185,2
186,2
187,1
188,1
189,2
190,1
191,2
192,0
193,0
194,2
195,1
196,2
197,2
198,2
199,1
200,2
201,0
202,1
203,2
204,2
205,2
206,2
207,0
208,2
209,2
210,2
211,2
212,1
213,1
214,2
215,2
216,1
217,2
218,1
219,2
220,2
221,1
222,2
223,2
224,1
225,2
226,1
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,1
236,2
237,2
238,2
239,2
240,1
241,2
242,2
243,2
244,1
245,2
246,1
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,0
255,1
256,0
257,2
258,0
259,1
260,2
261,2
262,2
263,2
264,2
265,0
266,0
267,1
268,0
269,2
270,2
271,2
272,2
273,2
274,2
275,1
276,2
277,2
278,0
279,2
280,0
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,1
294,1
295,2
296,2
297,2
298,2
299,1
300,2
301,2
302,2
303,2
304,1
305,2
306,2
307,1
308,2
309,2
310,2
311,0
312,2
313,2
314,2
315,2
316,1
317,2
318,2
319,2
320,2
321,0
322,0
323,2
324,2
325,0
326,0
327,2
328,0
329,2
330,2
331,0
332,1
333,2
334,2
335,0
336,2
337,2
338,2
339,2
340,1
341,1
342,1
343,1
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,1
353,2
354,2
355,2
356,2
357,2
358,2
359,0
360,2
361,2
362,2
363,2
364,1
365,0
366,2
367,2
368,2
369,2
370,2
371,0
372,0
373,2
374,2
375,1
376,0
377,1
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,1
388,2
389,2
390,1
391,0
392,0
393,2
394,2
395,0
396,0
397,2
398,1
399,2
400,2
401,2
402,2
403,0
404,2
405,2
406,2
407,1
408,1
409,2
410,2
411,2
412,2
413,2
414,2
415,0
416,2
417,0
418,1
419,2
420,2
421,2
422,2
423,2
424,0
425,1
426,2
427,2
428,2
429,2
430,1
431,0
432,2
433,2
434,2
435,0
436,2
437,2
438,2
439,1
440,1
441,1
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,0
454,2
455,2
456,2
457,1
458,2
459,2
460,2
461,0
462,2
463,2
464,2
465,2
466,2
467,2
468,2
469,1
470,2
471,2
472,2
473,2
474,2
475,0
476,2
477,2
478,2
479,1
480,2
481,1
482,2
483,2
484,2
485,0
486,0
487,2
488,2
489,0
490,2
491,1
492,2
493,2
494,2
495,2
496,2
497,0
498,0
499,2
