,FF,nstates,BS,BS std
0,AMBER99SB,500,88.83469191838994,
1,AMBER99,500,98.08954834875455,
2,AMBER99SBnmr1-ildn,500,94.23467633299197,7.0829031295111085
3,AMBER99SB-ildn,500,102.71948879877078,
4,OPLS-aa,500,98.83139314682751,
5,AMBER14SB,500,105.16831517360491,5.39490877388089
6,CHARMM27,500,117.18475801930515,
7,CHARMM36,500,112.15432445354672,1.8755841626610532
8,CHARMM22star,500,111.94026985497352,
